Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29,43.96875,43.96875,43.75,43.9375,24.241413116455078,1003200,0.0,0.0,0.0
1993-02-01,43.96875,44.25,43.96875,44.25,24.413820266723633,480500,0.0,0.0,0.0
1993-02-02,44.21875,44.375,44.125,44.34375,24.465551376342773,201300,0.0,0.0,0.0
1993-02-03,44.40625,44.84375,44.375,44.8125,24.72416114807129,529400,0.0,0.0,0.0
1993-02-04,44.96875,45.09375,44.46875,45.0,24.827611923217773,531500,0.0,0.0,0.0
1993-02-05,44.96875,45.0625,44.71875,44.96875,24.810380935668945,492100,0.0,0.0,0.0
1993-02-08,44.96875,45.125,44.90625,44.96875,24.810380935668945,596100,0.0,0.0,0.0
1993-02-09,44.8125,44.8125,44.5625,44.65625,24.63795280456543,122100,0.0,0.0,0.0
1993-02-10,44.65625,44.75,44.53125,44.71875,24.672460556030273,379600,0.0,0.0,0.0
1993-02-11,44.78125,45.125,44.78125,44.9375,24.79312515258789,19500,0.0,0.0,0.0
1993-02-12,44.875,44.875,44.59375,44.59375,24.603477478027344,42500,0.0,0.0,0.0
1993-02-16,44.46875,44.46875,43.40625,43.46875,23.982772827148438,374800,0.0,0.0,0.0
1993-02-17,43.46875,43.53125,43.28125,43.4375,23.965539932250977,210900,0.0,0.0,0.0
1993-02-18,43.9375,43.9375,42.8125,43.40625,23.948305130004883,378100,0.0,0.0,0.0
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.034509658813477,34900,0.0,0.0,0.0
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.120718002319336,513600,0.0,0.0,0.0
1993-02-23,43.84375,43.875,43.46875,43.6875,24.103487014770508,373700,0.0,0.0,0.0
1993-02-24,43.71875,44.25,43.71875,44.25,24.413820266723633,26300,0.0,0.0,0.0
1993-02-25,44.21875,44.375,44.125,44.34375,24.465551376342773,44500,0.0,0.0,0.0
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.500045776367188,66200,0.0,0.0,0.0
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.431076049804688,66500,0.0,0.0,0.0
1993-03-02,44.3125,44.9375,44.25,44.9375,24.79312515258789,182400,0.0,0.0,0.0
1993-03-03,45.0,45.15625,44.9375,45.125,24.896562576293945,280100,0.0,0.0,0.0
1993-03-04,45.1875,45.1875,44.875,44.875,24.758647918701172,89500,0.0,0.0,0.0
1993-03-05,44.9375,45.125,44.71875,44.75,24.689685821533203,40000,0.0,0.0,0.0
1993-03-08,44.84375,45.75,44.84375,45.75,25.24140167236328,50800,0.0,0.0,0.0
1993-03-09,45.65625,45.6875,45.5,45.59375,25.15520477294922,169300,0.0,0.0,0.0
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.20693016052246,194400,0.0,0.0,0.0
1993-03-11,45.71875,45.84375,45.5,45.5625,25.137954711914062,70900,0.0,0.0,0.0
1993-03-12,45.1875,45.21875,44.8125,45.09375,24.879337310791016,643600,0.0,0.0,0.0
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.000028610229492,310800,0.0,0.0,0.0
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.000028610229492,30800,0.0,0.0,0.0
1993-03-17,45.25,45.25,44.96875,45.03125,24.84485626220703,21800,0.0,0.0,0.0
1993-03-18,45.21875,45.5,45.21875,45.3125,25.000028610229492,59300,0.0,0.0,0.0
1993-03-19,45.28125,45.28125,45.03125,45.03125,24.962190628051758,66900,0.213,0.0,0.0
1993-03-22,44.59375,44.875,44.5625,44.78125,24.823604583740234,183400,0.0,0.0,0.0
1993-03-23,44.90625,44.9375,44.8125,44.875,24.875587463378906,55200,0.0,0.0,0.0
1993-03-24,44.8125,45.0625,44.59375,44.875,24.875587463378906,37200,0.0,0.0,0.0
1993-03-25,44.90625,45.25,44.84375,45.15625,25.031484603881836,110100,0.0,0.0,0.0
1993-03-26,45.125,45.15625,44.875,44.90625,24.892915725708008,101500,0.0,0.0,0.0
1993-03-29,44.9375,45.3125,44.9375,45.09375,24.996835708618164,87100,0.0,0.0,0.0
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.066131591796875,56000,0.0,0.0,0.0
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.048809051513672,111600,0.0,0.0,0.0
1993-04-01,45.25,45.25,44.9375,45.03125,24.962190628051758,129500,0.0,0.0,0.0
1993-04-02,44.65625,44.65625,44.09375,44.09375,24.4425106048584,59400,0.0,0.0,0.0
1993-04-05,44.4375,44.4375,44.1875,44.3125,24.563758850097656,172200,0.0,0.0,0.0
1993-04-06,44.40625,44.40625,44.0625,44.1875,24.494462966918945,129700,0.0,0.0,0.0
1993-04-07,44.25,44.34375,44.15625,44.34375,24.581087112426758,28000,0.0,0.0,0.0
1993-04-08,44.53125,44.53125,44.09375,44.28125,24.54645347595215,180800,0.0,0.0,0.0
1993-04-12,44.71875,44.9375,44.65625,44.90625,24.892915725708008,348500,0.0,0.0,0.0
1993-04-13,44.875,45.15625,44.84375,45.0,24.944873809814453,146100,0.0,0.0,0.0
1993-04-14,45.03125,45.0625,44.90625,44.9375,24.91021728515625,119600,0.0,0.0,0.0
1993-04-15,44.90625,45.03125,44.75,44.9375,24.91021728515625,148600,0.0,0.0,0.0
1993-04-16,44.96875,45.03125,44.875,44.9375,24.91021728515625,47900,0.0,0.0,0.0
1993-04-19,44.9375,45.0625,44.71875,44.75,24.806291580200195,157000,0.0,0.0,0.0
1993-04-20,44.6875,44.75,44.25,44.53125,24.68502426147461,279500,0.0,0.0,0.0
1993-04-21,44.625,44.625,44.375,44.5,24.667705535888672,67900,0.0,0.0,0.0
1993-04-22,44.3125,44.6875,43.9375,43.9375,24.355905532836914,97700,0.0,0.0,0.0
1993-04-23,43.84375,43.96875,43.6875,43.75,24.2519588470459,106000,0.0,0.0,0.0
1993-04-26,43.78125,43.9375,43.28125,43.40625,24.06140899658203,62600,0.0,0.0,0.0
